승패여부,거리
1,261.4
1,34.5
0,32.2
0,24.4
1,235.1
1,69.4
1,288.6
0,313.6
0,313.6
1,24.4
1,24.4
-1,136.8
0,136.8
0,261.4
-1,34.5
-1,34.5
-1,235.1
1,245.5
-1,18.1
-1,288.6
-1,43.7
-1,313.6
0,34.5
0,251.2
-1,235.1
1,288.6
-1,288.6
-1,18.1
1,18.1
1,261.4
0,261.4
0,24.4
0,24.4
0,136.8
0,136.8
0,288.6
1,288.6
1,235.1
0,251.2
-1,34.5
1,34.5
1,253.2
1,
-1,0.0
1,271.0
1,24.4
0,18.1
1,18.1
1,136.8
1,136.8
0,235.1
-1,235.1
0,261.4
1,261.4
0,34.5
-1,327.8
1,313.6
0,261.4
1,261.4
1,18.1
1,18.1
1,34.5
-1,251.2
-1,235.1
-1,313.6
-1,313.6
-1,136.8
1,136.8
-1,24.4
0,271.0
-1,288.6
1,313.6
1,313.6
-1,34.5
1,34.5
-1,235.1
0,69.4
0,288.6
0,136.8
0,136.8
-1,24.4
1,24.4
1,18.1
0,18.1
1,261.4
1,261.4
-1,34.5
-1,327.8
0,43.7
0,288.6
1,136.8
1,
